Date,Open,High,Low,Close,Coin
2023-02-12,21870.902501849163,22060.99460655736,21682.828774706803,21788.203986260593,btc
2023-02-11,21651.841862003555,21891.410562977795,21618.449727617524,21870.874064054547,btc
2023-02-10,21819.006420404912,21941.185603316964,21539.39283051438,21651.183782936125,btc
2023-02-09,22946.56551860676,22996.43751078374,21773.974614057337,21819.039914736517,btc
2023-02-08,23263.415126044525,23367.95928740589,22731.09821330102,22939.398700684054,btc
2023-02-07,22757.26754187948,23310.975071816956,22756.258276985336,23264.291187691553,btc
2023-02-06,22954.021964172887,23119.27995032012,22692.02598404982,22760.109263300423,btc
2023-02-05,23332.247600951167,23423.435611538534,22841.760312501065,22955.666016297437,btc
2023-02-04,23446.320726972564,23556.94880508433,23291.795658887062,23331.84713709607,btc
2023-02-03,23469.412507140038,23678.10257647552,23279.9557414819,23449.32162150656,btc
2023-02-02,23720.82351727543,24167.210232201985,23468.595282557166,23471.870441279425,btc
2023-02-01,23137.835136150523,23764.53929417068,22877.75065255435,23723.769653484665,btc
2023-01-31,22840.796090600143,23225.02140388607,22765.56849944083,23139.283909912327,btc
2023-01-30,23774.64896664247,23789.347177699183,22657.582167625576,22840.13890737995,btc
2023-01-29,23031.4492355484,23919.889761409202,22985.0701306067,23774.56592331162,btc
2023-01-28,23079.96433256669,23165.895884287078,22908.846464031027,23031.08977562008,btc
2023-01-27,23030.717285647723,23417.72097245481,22654.59340843538,23078.727879912283,btc
2023-01-26,23108.954486797436,23237.07716893849,22911.373351233604,23032.777598708428,btc
2023-01-25,22639.26716752375,23722.09880874052,22406.075502425076,23117.85968190475,btc
2023-01-24,22929.627735671096,23134.012046600146,22549.74451310499,22636.469311191635,btc
2023-01-23,22721.088671950587,23126.486345437213,22654.304469693496,22934.431464358633,btc
2023-01-22,22777.986661421615,23056.72965007116,22387.900462859576,22720.41562863912,btc
2023-01-21,22677.42738242082,23282.347721556718,22511.833134019824,22777.625809132605,btc
2023-01-20,21085.37233777419,22692.35783082474,20919.125983682126,22676.55175888814,btc
2023-01-19,20686.74590606124,21163.012288227077,20685.38118086059,21086.793304844312,btc
2023-01-18,21161.050899700425,21564.502212963143,20541.54454877403,20688.780729864848,btc
2023-01-17,21175.83326020336,21438.659357857345,20978.533624201336,21161.519219916157,btc
2023-01-16,20882.22387661832,21360.87427947748,20715.74621411983,21169.6327806964,btc
2023-01-15,20977.484195216995,20993.74869585351,20606.98723839924,20880.79920218209,btc
2023-01-14,19910.53665706548,21075.141829957553,19907.828463560887,20976.299796392123,btc
2023-01-13,18868.90593784208,19964.32272796427,18753.164262209666,19909.574624750632,btc
2023-01-12,17944.068733941822,19030.087636638204,17919.231705835675,18869.588055265584,btc
2023-01-11,17446.360272066515,17987.633549359143,17337.99499776178,17943.897629468323,btc
2023-01-10,17192.95009444573,17484.720892404555,17162.99116698699,17446.292509299026,btc
2023-01-09,17093.99249812248,17389.957551426294,17093.99249812248,17196.554059639464,btc
2023-01-08,16954.145725849703,17091.14445130325,16924.050073925267,17091.14445130325,btc
2023-01-07,16952.11698101385,16975.016620564034,16914.192080111883,16955.077435158768,btc
2023-01-06,16836.473439155277,16991.99412117054,16716.422270521653,16951.969516629335,btc
2023-01-05,16863.472056826773,16884.02211647721,16790.283040692182,16836.736645223573,btc
2023-01-04,16680.204971419756,16964.585185463384,16667.763725134693,16863.238258283258,btc
2023-01-03,16688.84726385924,16760.44746598456,16622.370328256326,16679.85707981374,btc
2023-01-02,16625.51039411775,16759.344022918354,16572.228849744886,16688.47135739323,btc
2023-01-01,16547.914397871536,16630.43900271543,16521.233430528962,16625.08055070908,btc
2022-12-31,16603.67470264306,16628.986997303513,16517.519222395018,16547.49536601617,btc
2022-12-30,16641.329824264532,16643.427409572592,16408.475176826076,16602.585155770088,btc
2022-12-29,16552.322490686318,16651.75666380368,16508.683153231756,16642.342671885614,btc
2022-12-28,16716.40022056822,16768.170355524755,16497.557038840765,16552.571736514474,btc
2022-12-27,16919.291650123574,16959.846476047544,16642.073182208023,16717.17398012714,btc
2022-12-26,16842.249310575324,16920.123640467442,16812.370075923343,16919.80517492847,btc
2022-12-25,16847.505364105884,16860.553971121557,16755.253233558044,16841.98705228377,btc
2022-12-24,16796.976619520563,16864.702878905566,16793.528184511397,16847.755265154647,btc
2022-12-23,16829.643586035916,16905.219359989063,16794.459352221234,16796.952171216344,btc
2022-12-22,16818.380287653727,16866.674326763485,16592.40745444739,16830.341423934446,btc
2022-12-21,16904.527354049867,16916.79988236787,16755.91221318602,16817.53438655099,btc
2022-12-20,16441.786800099886,17012.984705296407,16427.867238763847,16906.30521042145,btc
2022-12-19,16759.04092682387,16807.526574065127,16398.136251675314,16439.679646162964,btc
2022-12-18,16795.6092258732,16815.386575543896,16697.82003455788,16757.977403246638,btc
2022-12-17,16646.982567247887,16800.590192749856,16614.02894738076,16795.09096721353,btc
2022-12-16,17364.546443268817,17505.5250524957,16584.70139828051,16647.48347882862,btc
2022-12-15,17813.644122701808,17846.744460573012,17322.590067121728,17364.864911262914,btc
2022-12-14,17782.066878037138,18318.53058436097,17652.09831268358,17652.09831268358,btc
2022-12-13,17206.440483921902,17930.086838900843,17111.76315246234,17781.318835459824,btc
2022-12-12,17102.50064945091,17212.56387663098,16899.39378501017,17206.438300671838,btc
2022-12-11,17129.71133330881,17245.635283908436,17091.819989740216,17104.192805716193,btc
2022-12-10,17134.221365280508,17216.82559261347,17120.684322763056,17128.723710215563,btc
2022-12-09,17232.148002630023,17280.546164948628,17100.836249754095,17133.1520141413,btc
2022-12-08,16847.350249703974,17267.91576301951,16788.783823541482,17233.474019915124,btc
2022-12-07,17089.506270186645,17109.377493895725,16750.55813442861,16848.127628900518,btc
2022-12-06,16975.23912418603,17091.86417510719,16939.922348926935,17089.503706009797,btc
2022-12-05,17128.894080449645,17378.15331028325,16922.431868759784,16974.825665133598,btc
2022-12-04,16908.170477079635,17157.767239586625,16903.439827645885,17130.485947216774,btc
2022-12-03,17090.098485075916,17116.04080553255,16888.140807160373,16908.236795124038,btc
2022-12-02,16968.683261479262,17088.660409402313,16877.88159587772,17088.660409402313,btc
2022-12-01,17168.002137625317,17197.49725344472,16888.38788761444,16967.13366710075,btc
2022-11-30,16445.47748855228,17190.93827300782,16445.47748855228,17168.56554848644,btc
2022-11-29,16217.639903770933,16522.257470665474,16139.396275247083,16444.98327002905,btc
2022-11-28,16440.222087898794,16482.933543310384,16054.53021534078,16217.322467641055,btc
2022-11-27,16463.883171590274,16594.405472441995,16437.02533441152,16444.626834548457,btc
2022-11-26,16521.577024910126,16666.862927005834,16416.228690260028,16464.281079365555,btc
2022-11-25,16602.269516497403,16603.31699288261,16388.40495351409,16521.84101896077,btc
2022-11-24,16611.637672358618,16771.47524317893,16501.76805488462,16604.46501795427,btc
2022-11-23,16195.588669774414,16638.19248653868,16170.502495775037,16610.7064149352,btc
2022-11-22,15782.301230536288,16253.047746702146,15656.606060116139,16189.769531934091,btc
2022-11-21,16291.223799578982,16291.223799578982,15599.047175382899,15787.284094521752,btc
2022-11-20,16712.920458367662,16746.780157269564,16248.692829299347,16291.8324676929,btc
2022-11-19,16696.219905182574,16797.87699736105,16570.410748351132,16711.547793796504,btc
2022-11-18,16687.911575071244,16947.05840111188,16564.61168003081,16697.77766778654,btc
2022-11-17,16670.426756200326,16726.438844788194,16460.68348704278,16687.51795054106,btc
2022-11-16,16884.341187944265,16960.29517836233,16430.111281780155,16669.44014477405,btc
2022-11-15,16617.484737989726,17051.96196720474,16542.55126721595,16884.613907054605,btc
2022-11-14,16352.028563420386,17109.323354054974,15872.941612674758,16618.199228890797,btc
2022-11-13,16799.722291055714,16920.766400155015,16320.635153276064,16353.365717176099,btc
2022-11-12,17036.875408441774,17066.675491252296,16651.774769724314,16799.184738399876,btc
2022-11-11,17583.252430510052,17650.94405254207,16543.482390135327,17034.29313471333,btc
2022-11-10,15883.15822691518,18054.311779066138,15834.018093252147,17586.77144954725,btc
2022-11-09,18543.761249619893,18590.459569580897,15682.692842780652,15880.779849172332,btc
2022-11-08,20600.67274715879,20664.60652029959,17603.54436900462,18541.271853223814,btc
2022-11-07,20924.62048404909,21053.246149529263,20489.973343695598,20602.816725269906,btc
2022-11-06,21285.056663911386,21345.37679278884,20920.19068403618,20926.485973821505,btc
2022-11-05,21144.83146578881,21446.886096690843,21097.635417108453,21282.69129591641,btc
2022-11-04,20208.7694981217,21209.561042305395,20188.0187146493,21147.229732238487,btc
2022-11-03,20162.689227896553,20382.096320645098,20086.24090339057,20209.987415003863,btc
2022-11-02,20482.959693755372,20742.811011066202,20087.134483620648,20159.503067104524,btc
2022-11-01,20494.897622939236,20647.289720357683,20359.845479716354,20485.273243090294,btc
2022-10-31,20633.696071095317,20795.321223177747,20287.459087988613,20495.774232032527,btc
2022-10-30,20817.982251842404,20917.006239851922,20547.46342477446,20635.603747684276,btc
2022-10-29,20595.103841969667,20988.394470423613,20566.484616724767,20818.47616443884,btc
2022-10-28,20287.956094786256,20724.98029964302,20086.06823011306,20595.35193660123,btc
2022-10-27,20772.803027102687,20854.044215933114,20255.373144335506,20285.836775701682,btc
2022-10-26,20092.23718809519,20938.133812687523,20076.11777157532,20770.441271629403,btc
2022-10-25,19344.96442021395,20348.41158417784,19261.44712585322,20095.85645544717,btc
2022-10-24,19567.769580384924,19589.124575528083,19206.324306708124,19345.57234828513,btc
2022-10-23,19207.734650775248,19646.651541546595,19124.19696484497,19567.00739805294,btc
2022-10-22,19172.380608580974,19248.067672211775,19132.243193413342,19208.190246004346,btc
2022-10-21,19053.203045616505,19237.385606151693,18770.97006051153,19172.46921726924,btc
2022-10-20,19138.08505687014,19315.19896864566,18971.458649274926,19053.740240536765,btc
2022-10-19,19335.02644145188,19348.416809620576,19127.688369957425,19139.534351389357,btc
2022-10-18,19550.466742932043,19666.995005967685,19144.770176278835,19334.41514998285,btc
2022-10-17,19268.562102307453,19635.802281363132,19173.33472358563,19550.75729991318,btc
2022-10-16,19068.91355993786,19389.6035200638,19068.91355993786,19268.092800861934,btc
2022-10-15,19185.437303811446,19212.54160761659,19019.250125219165,19067.635082288427,btc
2022-10-14,19382.53397217804,19889.146270975412,19115.407318499372,19185.65670032703,btc
2022-10-13,19156.96661332697,19453.32797149125,18319.822629614115,19382.904033633087,btc
2022-10-12,19052.64578600759,19203.198651051654,19029.758329129058,19157.446286852537,btc
2022-10-11,19138.999877483147,19241.96023569531,18925.603221817615,19051.41826947727,btc
2022-10-10,19446.416225133773,19515.467287660194,19102.979239623415,19141.483505012173,btc
2022-10-09,19417.479411166132,19542.538653542095,19349.25895339935,19446.426194132677,btc
2022-10-08,19546.328837739784,19601.695455117493,19299.41361902811,19416.567849523348,btc
2022-10-07,19957.55908041741,20041.085579829185,19395.79324021193,19546.849710149883,btc
2022-10-06,20161.03843820979,20408.391839881628,19900.088532978476,19955.443672368598,btc
